               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036207,            0.020431,           0.0015318,             0.26731,             0.32836,             0.31554,             0.21827,            0.017561,            0.018209,           0.0015411,             0.00769,             0.00769,             0.00769
                  37,            0.036768,             0.02013,           0.0013891,             0.32454,             0.19403,             0.26406,             0.18276,            0.017038,            0.018685,           0.0011681,            0.007624,            0.007624,            0.007624
                  38,            0.038529,            0.020876,           0.0015226,             0.14532,              0.5209,             0.22069,             0.14668,            0.019532,            0.017197,           0.0020953,            0.007558,            0.007558,            0.007558
                  39,            0.037914,            0.020611,           0.0017642,             0.17538,             0.22388,             0.16964,             0.10312,            0.020549,            0.017388,           0.0018858,            0.007492,            0.007492,            0.007492
                  40,            0.036547,            0.020719,           0.0011802,             0.19944,             0.39104,             0.22076,             0.14082,            0.017461,            0.021042,           0.0029373,            0.007426,            0.007426,            0.007426
                  41,            0.036621,            0.022368,           0.0013082,             0.22054,             0.29104,             0.23751,             0.15401,            0.019213,            0.017749,           0.0017389,             0.00736,             0.00736,             0.00736
                  42,            0.035126,            0.019444,           0.0010923,             0.30701,             0.26119,             0.30462,             0.20665,            0.017306,            0.018331,          0.00074326,            0.007294,            0.007294,            0.007294
                  43,            0.036626,            0.021284,           0.0013615,             0.33901,             0.19403,             0.26969,             0.19195,             0.01884,            0.018036,           0.0012493,            0.007228,            0.007228,            0.007228
                  44,            0.034948,            0.020931,           0.0012388,             0.25401,             0.39104,             0.26538,             0.17791,            0.016376,            0.018608,           0.0014915,            0.007162,            0.007162,            0.007162
                  45,            0.034473,             0.02082,           0.0011409,             0.15567,             0.36119,             0.17835,             0.11775,            0.016998,            0.019265,           0.0011534,            0.007096,            0.007096,            0.007096
                  46,            0.035856,             0.02081,           0.0010649,              0.3586,             0.30597,             0.34219,             0.24568,             0.01774,             0.01847,          0.00095237,             0.00703,             0.00703,             0.00703
                  47,            0.034937,             0.02009,           0.0011771,             0.23518,             0.31642,             0.20743,             0.15428,            0.014475,            0.018853,           0.0007582,            0.006964,            0.006964,            0.006964
                  48,             0.03337,            0.020494,          0.00087524,             0.22463,             0.40363,             0.26884,               0.195,            0.016937,            0.017918,           0.0015842,            0.006898,            0.006898,            0.006898
                  49,            0.032189,            0.019963,          0.00096619,             0.16446,             0.64328,             0.21373,             0.15294,            0.016544,            0.018807,           0.0023366,            0.006832,            0.006832,            0.006832
                  50,             0.03343,            0.020614,          0.00094699,             0.36819,              0.2791,             0.25881,             0.19493,            0.015777,            0.018598,          0.00042232,            0.006766,            0.006766,            0.006766
                  51,            0.034198,            0.019525,           0.0010252,             0.21902,             0.52836,             0.26414,             0.18936,            0.016573,            0.018943,          0.00044478,              0.0067,              0.0067,              0.0067
                  52,            0.033713,            0.020075,          0.00067972,              0.4809,             0.31642,             0.32983,             0.24638,            0.014905,            0.018068,          0.00041731,            0.006634,            0.006634,            0.006634
                  53,            0.032384,            0.019744,          0.00089644,             0.37401,             0.24627,             0.31597,             0.22901,            0.016075,            0.019472,          0.00030811,            0.006568,            0.006568,            0.006568
                  54,            0.031596,            0.019445,          0.00075636,             0.28677,             0.48252,             0.31236,             0.22221,            0.017572,            0.019596,          0.00044965,            0.006502,            0.006502,            0.006502
                  55,            0.031598,            0.019262,          0.00075204,             0.33598,             0.22934,             0.31545,             0.21196,            0.017156,            0.018794,          0.00048213,            0.006436,            0.006436,            0.006436
                  56,             0.03274,            0.019202,          0.00074091,             0.42889,             0.26119,             0.35855,             0.26303,            0.016192,            0.019484,           0.0004078,             0.00637,             0.00637,             0.00637
                  57,            0.031248,            0.018983,          0.00078237,             0.28213,             0.26119,             0.26234,             0.18976,            0.016363,            0.018996,          0.00076542,            0.006304,            0.006304,            0.006304
                  58,             0.03027,            0.019479,          0.00080302,             0.39997,             0.26866,             0.32501,             0.23742,            0.015764,            0.020072,          0.00047611,            0.006238,            0.006238,            0.006238
