               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03273,            0.013419,           0.0020825,             0.85634,             0.69985,             0.67326,             0.41818,            0.032844,           0.0094427,              0.0108,           0.0013786,           0.0013786,            0.053379
                  37,            0.036701,            0.012921,           0.0022865,             0.66937,                 0.7,             0.61688,             0.36135,             0.03488,           0.0095314,            0.011043,           0.0013183,           0.0013183,            0.052018
                  38,            0.034601,             0.01348,           0.0023056,             0.69577,                 0.7,             0.65808,             0.40707,            0.034485,           0.0094225,            0.011026,           0.0012529,           0.0012529,            0.050653
                  39,            0.036465,             0.01298,           0.0021342,             0.63428,                 0.7,             0.59612,             0.40169,            0.031006,           0.0098389,             0.01086,           0.0011823,           0.0011823,            0.049282
                  40,            0.033686,            0.011799,            0.001862,               0.748,                 0.7,             0.65765,              0.4542,            0.036323,           0.0094473,            0.010748,           0.0011066,           0.0011066,            0.047907
                  41,            0.033395,            0.012187,           0.0016411,             0.96769,             0.69254,             0.69604,             0.48086,            0.031281,           0.0094677,            0.010469,           0.0010257,           0.0010257,            0.046526
                  42,            0.030888,            0.013587,           0.0016903,             0.89769,                 0.7,              0.6844,             0.47507,            0.032851,           0.0092338,            0.010618,          0.00093967,          0.00093967,             0.04514
                  43,            0.033392,            0.012999,           0.0019368,             0.93931,              0.6997,             0.69459,              0.4944,            0.029543,           0.0091673,            0.010603,          0.00084851,          0.00084851,            0.043749
                  44,            0.030756,            0.011741,           0.0018539,             0.93806,             0.69254,             0.69267,             0.50801,            0.029611,           0.0089362,            0.010987,          0.00075219,          0.00075219,            0.042352
                  45,            0.030745,            0.012985,           0.0023572,             0.96122,             0.67007,             0.69612,             0.47334,            0.030486,           0.0089546,            0.011161,          0.00065073,          0.00065073,            0.040951
                  46,            0.025846,            0.011974,           0.0015104,             0.97455,             0.69254,             0.69798,              0.4915,            0.027538,           0.0088315,            0.011216,          0.00054412,          0.00054412,            0.039544
                  47,            0.028178,            0.012347,           0.0014051,             0.94926,             0.69254,             0.69828,              0.4983,            0.026726,           0.0086926,            0.011215,          0.00043236,          0.00043236,            0.038132
                  48,            0.024342,            0.011505,           0.0015179,             0.95744,             0.69713,             0.69674,             0.48881,            0.027782,           0.0086354,            0.011068,          0.00031546,          0.00031546,            0.036715
                  49,             0.02395,            0.012584,           0.0013016,             0.95008,                 0.7,              0.6976,             0.48593,            0.026344,           0.0086217,            0.011073,           0.0001934,           0.0001934,            0.035293
